mrun_1;mrun_2;mismo_nivel;es_hermano;postula_en_bloque
652294;25328500;0;1;0
652844;25223741;0;1;1
655040;12287847;0;1;0
659691;198691;0;1;0
661681;8564406;0;1;0
665982;1076035;0;1;0
677045;19211461;0;1;0
677045;25295020;0;1;0
682256;10096476;0;1;1
683851;26021786;0;1;1
686525;26336693;0;1;0
688021;26598471;0;1;1
689262;8497725;1;1;1
694756;25306085;0;1;1
695783;13358254;0;1;0
696132;7099676;0;1;1
696132;18866655;0;1;1
707884;19630994;0;1;0
707884;25544821;0;1;0
709988;11703885;0;1;0
710874;24382145;0;1;0
722761;26569278;0;1;1
725176;13131642;0;1;0
740986;25534272;0;1;1
743473;25248194;0;1;1
744348;5572654;0;1;1
748733;25726439;0;1;0
752997;25396522;0;1;1
753127;25282134;0;1;1
760153;25291618;0;1;1
769602;23701697;0;1;0
776358;5832189;0;1;0
776358;11679223;0;1;0
776358;25394197;0;1;0
778259;6578537;0;1;1
781666;10726449;1;1;1
781666;21297643;0;1;0
789961;2095374;0;1;1
789961;11754420;0;1;1
789997;27228092;0;1;0
792326;8866519;0;1;1
795793;25653877;0;1;0
795793;27098908;0;1;0
796735;4360343;0;1;0
797541;25717097;0;1;0
800962;23653618;0;1;0
802123;12155964;0;1;0
808569;2945436;1;1;1
815546;17905005;1;1;1
816272;25652484;0;1;1
818437;7832003;0;1;1
819594;26315677;0;1;0
820406;19534485;1;1;0
821779;2216544;0;1;1
823294;25885878;0;1;1
825923;25355903;0;1;0
828030;26658726;0;1;0
828030;27626373;0;1;0
828755;12274675;0;1;1
833077;1547926;0;1;0
835593;21458694;0;1;0
837374;25724052;0;1;0
837435;25400898;0;1;1
837435;26195562;0;1;1
842673;26913855;0;1;1
843391;26331150;0;1;0
848006;5529818;0;1;0
848006;25733509;0;1;0
852877;19794434;0;1;0
852938;3001952;0;1;1
852938;26338046;0;1;0
853200;26285186;0;1;1
857860;10477119;0;1;0
857860;27025279;0;1;1
859783;25650824;0;1;0
866549;12414278;1;1;0
869068;18256596;0;1;1
869639;26580443;0;1;1
870753;9114688;0;1;0
872660;6427627;0;1;0
872660;15073425;0;1;0
880551;26616372;0;1;1
882128;22961182;0;1;1
883939;18152308;1;1;0
884126;1444336;0;1;0
885075;13852398;0;1;0
897743;4642765;0;1;0
898867;17723249;0;1;1
899299;25358854;0;1;0
900136;15236894;0;1;0
907064;3851037;0;1;1
914381;25926481;0;1;0
918165;2980246;0;1;0
918165;3230706;0;1;1
920261;896391;0;1;0
933503;26215680;0;1;0
940845;25315180;0;1;1
940845;26298493;0;1;1
941455;20805761;0;1;1
941884;17934650;0;1;0
941884;26063059;0;1;0
950699;313111;0;1;1
958559;26035321;0;1;1
966378;24958282;0;1;0
978099;20862794;0;1;1
978099;27402333;0;1;1
981739;25153222;0;1;1
983096;4288864;1;1;0
983678;3882379;0;1;0
983678;26652655;0;1;0
983894;25957387;0;1;1
984721;26297940;0;1;1
986709;25883008;0;1;0
987450;26441513;0;1;1
991464;26634955;0;1;0
991584;25687413;0;1;1
994322;26259490;0;1;0
995256;25883566;0;1;1
997968;14312437;0;1;0
999222;5760960;0;1;1
1001514;26294969;0;1;0
1003242;19763542;0;1;1
1004072;24946535;0;1;0
1006468;11996133;1;1;1
1009557;13184067;0;1;1
1014347;18017104;0;1;1
1014521;22296252;0;1;1
1014521;26176034;0;1;1
1020459;11893873;0;1;0
1020459;17215190;0;1;0
1024328;5218177;0;1;0
1025585;11068638;0;1;0
1029270;26301407;0;1;1
1031008;25938374;0;1;0
1031164;2119555;0;1;1
1032777;27040606;0;1;1
1037962;4582646;0;1;0
1037962;22124988;0;1;0
1045999;26625612;0;1;1
1052799;3006500;0;1;1
1052839;18203130;0;1;1
1056241;4118278;0;1;1
1058997;10593499;0;1;1
1059424;25946626;0;1;1
1060658;15480273;1;1;1
1062234;25546422;0;1;1
1062400;26300861;0;1;0
1075997;25304306;0;1;1
1080421;26006743;0;1;0
1083551;2387386;0;1;1
1083551;21233533;0;1;1
1084729;11797722;0;1;1
1087616;19709352;0;1;0
1092317;26204520;0;1;0
1092577;27638830;0;1;0
1097128;25944985;0;1;0
1098003;751919;0;1;0
1106993;3006795;0;1;1
1107790;9910452;0;1;0
1107957;5903695;0;1;1
1108494;12378901;0;1;0
1113861;25439477;0;1;1
1119555;25324432;0;1;1
1122051;15149353;0;1;0
1126689;23691399;0;1;1
1128586;665958;0;1;1
1129819;26182327;0;1;1
1130154;11218276;0;1;0
1130154;26854367;0;1;0
1130776;26896161;0;1;1
1135458;6675776;0;1;1
1140015;25659980;0;1;1
1140461;25919638;0;1;0
1141752;26519767;0;1;1
1142521;1639343;0;1;1
1146811;23949595;0;1;0
1146814;26047553;0;1;1
1149337;19623348;1;1;1
1159332;26716863;0;1;0
1164468;12926153;0;1;0
1164468;26725617;0;1;0
1166917;8607452;0;1;1
1168942;17292474;0;1;1
1169726;12465534;0;1;1
1176136;25890751;0;1;0
1180183;22444078;0;1;1
1181393;26845649;0;1;1
1181775;11619682;0;1;1
1189303;23591897;1;1;1
1190010;7471289;0;1;1
1191654;26684550;0;1;1
1195816;25408595;0;1;0
1195816;26407890;0;1;0
1202165;26035856;0;1;1
1202467;13375890;0;1;0
1202467;16572252;0;1;0
1202664;14925820;0;1;1
1203245;25666798;0;1;1
1209726;26295363;0;1;0
1210784;12294718;0;1;1
1214824;27559827;0;1;0
1215217;19613997;1;1;1
1217270;26721890;0;1;1
1217541;10721616;0;1;1
1224625;17460218;0;1;1
1227407;25163199;0;1;0
1227531;22051761;1;1;1
1231233;1663635;0;1;1
1232482;27640437;0;1;0
1234132;26897898;0;1;1
1235056;2266395;0;1;0
1235732;15577381;0;1;0
1235732;25943423;0;1;0
1236049;26839221;0;1;1
1239176;25183620;0;1;0
1239176;25669165;0;1;1
1239984;26207287;0;1;1
1249948;26294082;0;1;1
1257258;3508157;1;1;1
1257258;25295981;0;1;0
1265512;22590838;0;1;1
1266997;27204830;0;1;1
1267363;1644762;0;1;0
1267363;19925680;0;1;1
1273371;22160215;0;1;1
1276999;26621499;0;1;0
1280393;27578168;0;1;1
1290746;13878598;0;1;0
1292838;25989531;0;1;0
1293603;19156185;0;1;1
1294489;7465034;0;1;0
1297338;26019435;0;1;1
1299733;26917198;0;1;1
1302225;7507083;0;1;1
1303337;25586531;0;1;0
1303392;25222102;0;1;0
1313587;25252856;0;1;1
1327104;4469581;0;1;0
1333440;23993713;1;1;1
1336462;25929673;0;1;0
1338646;2902170;0;1;1
1339781;11643875;0;1;0
1344587;22136422;0;1;1
1348574;25564545;0;1;1
1353647;25698153;0;1;1
1353647;26851090;0;1;1
1356415;25724682;0;1;0
1363082;25166564;0;1;1
1366242;25167097;0;1;1
1366242;26692996;0;1;1
1370914;10520985;1;1;1
1375603;26374614;0;1;1
1379140;27586148;0;1;1
1386706;2657715;0;1;0
1387055;27639067;0;1;0
1388628;26093922;0;1;0
1388692;7933139;0;1;0
1389078;12070293;1;1;1
1393912;10133855;0;1;1
1396590;26651597;0;1;0
1401300;6897772;0;1;1
1407994;3697572;0;1;0
1408827;11768626;0;1;1
1411248;17432306;1;1;1
1413500;5992592;0;1;0
1417365;26614301;0;1;0
1423840;10142411;1;1;0
1425912;26808591;0;1;1
1430096;10161630;0;1;0
1432180;26617622;0;1;1
1432237;25354833;0;1;1
1445802;17579150;0;1;0
1448284;26009634;0;1;1
1450375;18438702;1;1;1
1452979;26765428;0;1;1
1458600;26188158;0;1;0
1461856;4497764;0;1;0
1465153;25907018;0;1;0
1465575;25365885;0;1;1
1466578;10967044;0;1;1
1468947;26412495;0;1;0
1469115;25696476;0;1;0
1469115;26209974;0;1;0
1476621;5699505;0;1;1
1476773;3189326;0;1;1
1476773;8295076;0;1;1
1478363;20956629;0;1;0
1480865;4050972;1;1;1
1491732;26357880;0;1;0
1495876;6771625;0;1;0
1500013;7890359;0;1;0
1503716;10203408;1;1;1
1503716;26001260;0;1;0
1503716;26746134;0;1;0
1504671;27639859;0;1;1
1505139;26669226;0;1;1
1508379;8230761;1;1;1
1517049;26844021;0;1;1
1517049;27229693;0;1;0
1518114;15522163;0;1;0
1524328;15855134;0;1;1
1529693;16414766;0;1;1
1531089;26053688;0;1;1
1531089;26896389;0;1;1
1535828;26722484;0;1;1
1541811;25902585;0;1;1
1544054;16803619;0;1;1
1544054;26024902;0;1;1
1547882;26499549;0;1;0
1556598;26889922;0;1;1
1565356;27232695;0;1;1
1566395;26757509;0;1;0
1569460;25288768;0;1;0
1569460;26647966;0;1;0
1573175;404167;1;1;1
1574052;26209962;0;1;1
1574081;5435398;0;1;1
1574081;26019336;0;1;1
1576243;26207895;0;1;0
1580183;25698612;0;1;0
1588626;26759875;0;1;1
1589379;17504195;0;1;0
1589379;25547445;0;1;0
1594739;26428334;0;1;0
1603002;26025354;0;1;1
1603050;17294883;0;1;1
1604371;26542096;0;1;0
1612437;5901948;0;1;0
1614011;25356307;0;1;0
1621005;26533567;0;1;1
1622873;26679582;0;1;1
1628030;25539110;0;1;1
1629400;22163391;0;1;1
1637646;10580136;1;1;1
1652083;22178050;1;1;1
1655229;16278456;0;1;0
1658642;25651061;0;1;1
1661839;26016495;0;1;0
1663591;25384979;0;1;1
1665454;25545002;0;1;0
1668331;14808094;0;1;1
1670062;25590270;0;1;1
1674058;16515532;0;1;0
1675113;25893514;0;1;0
1675471;26418038;0;1;0
1677457;26854808;0;1;1
1682136;25353666;0;1;1
1687579;19210385;1;1;1
1693188;25646988;0;1;0
1693800;4745171;0;1;1
1701954;1592215;0;1;0
