mrun_1;mrun_2;mismo_nivel;es_hermano;postula_en_bloque
115;26171544;0;1;0
651;7322709;0;1;0
2215;26618697;0;1;0
2984;27389009;0;1;0
2984;27628371;0;1;0
3316;9739178;1;1;0
3438;23099163;0;1;1
4697;26516055;0;1;1
4765;26827237;0;1;1
6042;19853542;1;1;1
6290;26394405;0;1;0
6367;13809032;0;1;1
6416;9816606;0;1;1
6707;10318201;0;1;1
7582;7990098;0;1;0
7582;25529777;0;1;0
7842;3280471;0;1;0
8361;25191023;0;1;1
8361;26804113;0;1;1
9310;26565427;0;1;1
10036;26775251;0;1;0
10120;26823727;0;1;0
10828;21986604;0;1;1
11009;25889301;0;1;0
11951;26220360;0;1;0
12371;27052686;0;1;1
13053;15702454;0;1;1
14237;25996116;0;1;0
14372;7586894;0;1;0
14508;26214999;0;1;0
14508;26221949;0;1;0
15272;3317755;0;1;1
15323;8805403;0;1;1
15746;26086819;0;1;1
16201;26553657;0;1;0
16453;1802889;0;1;1
16915;26325543;0;1;0
17432;22623671;0;1;1
17818;26173111;0;1;1
17864;2799945;0;1;0
18208;21469065;0;1;0
18706;16643220;0;1;1
18798;18156122;0;1;0
19242;26523232;0;1;0
19576;27024358;0;1;1
20135;18007929;0;1;0
20135;25275586;0;1;0
20515;427227;0;1;1
20732;22034693;0;1;1
21299;18163125;0;1;1
21419;20677115;0;1;0
21688;15803561;0;1;1
22302;26555475;0;1;1
22357;22271736;0;1;0
22637;5523517;0;1;1
22766;27622447;0;1;1
22971;8635331;0;1;0
22971;25724667;0;1;0
23019;2824274;0;1;0
23051;26873408;0;1;0
23100;22831377;0;1;0
23146;14547794;0;1;1
23277;13495432;0;1;1
23744;9852438;1;1;0
23873;2977120;0;1;1
24129;27107228;0;1;0
24269;4192540;0;1;0
24374;20598438;0;1;1
24439;25718251;0;1;0
24753;26272729;0;1;1
24753;26443596;0;1;1
25565;26183049;0;1;1
25881;22238881;0;1;1
26291;26382316;0;1;1
26753;27622232;0;1;1
27223;26274654;0;1;1
28281;6073397;0;1;1
29050;27360429;0;1;0
30746;26329103;0;1;0
31028;26998208;0;1;0
32237;25912408;0;1;0
32446;26124341;0;1;0
32718;25156779;0;1;1
33952;13851221;1;1;0
34182;9809240;0;1;0
34313;9476523;0;1;1
34313;26252704;0;1;0
34490;25290919;0;1;1
34602;26572227;0;1;0
34758;25200789;0;1;0
34768;16264043;0;1;1
35124;26125087;0;1;1
35902;5429243;0;1;1
36624;25389027;0;1;0
36714;26046534;0;1;0
37295;26216049;0;1;1
37717;22074548;0;1;1
38139;26738331;0;1;0
38416;27032132;0;1;0
38754;26403466;0;1;0
39154;24837403;1;1;0
39758;8157997;0;1;0
40012;23054140;0;1;1
40070;8585926;1;1;1
40525;25567163;0;1;1
40525;25675935;0;1;1
40525;26194416;0;1;1
40525;26724017;0;1;0
41108;16422313;0;1;0
41209;8691914;0;1;0
41331;15509018;0;1;1
41723;26719465;0;1;0
43190;26295055;0;1;0
43704;26727208;0;1;0
44579;26393015;0;1;0
44708;21338956;0;1;1
44797;26006410;0;1;0
44816;17979601;0;1;1
44863;26880718;0;1;0
44968;20144449;0;1;0
45043;1430029;0;1;1
46128;26361993;0;1;0
46693;12297260;0;1;0
46693;14972632;0;1;0
46693;22545960;0;1;0
46728;5441783;1;1;0
46745;23826767;0;1;1
47127;13989543;0;1;1
47295;5684215;0;1;0
48468;26801784;0;1;0
48624;26990938;0;1;1
49628;25887018;0;1;0
51390;26410578;0;1;0
52392;26845358;0;1;0
52632;26850378;0;1;1
52856;15755944;0;1;0
53019;11290714;1;1;0
53247;26989384;0;1;0
54129;13290760;0;1;1
54514;27632309;0;1;1
54607;26286959;0;1;1
55395;25653234;0;1;1
55423;26706346;0;1;0
56088;27013104;0;1;0
56088;27634204;0;1;1
56140;26597943;0;1;0
56212;26755633;0;1;1
57030;25284878;0;1;1
57188;26337850;0;1;1
57509;1458695;0;1;0
57738;12062694;0;1;1
57764;26862150;0;1;0
57931;9148329;0;1;1
58183;15176641;0;1;0
58418;27623318;0;1;1
59131;26440505;0;1;1
59895;25569254;0;1;1
59942;25542666;0;1;1
59942;26285594;0;1;0
60692;26717301;0;1;0
60830;25442546;0;1;1
61088;26626804;0;1;0
61208;25934658;0;1;1
61560;26765964;0;1;1
62375;13191743;0;1;0
64311;21059685;0;1;1
64311;26610655;0;1;0
65785;18859728;0;1;1
65785;26746858;0;1;1
66089;27637061;0;1;1
66151;7543586;1;1;1
66156;26570518;0;1;1
66281;13608653;0;1;1
66321;2056878;0;1;0
66673;25673202;0;1;0
66715;2384037;0;1;0
66716;11685008;0;1;0
66716;25443935;0;1;0
66716;25779462;0;1;0
67636;26885522;0;1;0
69869;26210535;0;1;0
70037;8847631;0;1;0
70140;25905736;0;1;1
70303;26203844;0;1;1
70475;12090504;0;1;1
70479;2244242;0;1;1
70481;25203795;0;1;0
70514;3082581;0;1;1
70636;5492534;0;1;0
71348;23264118;0;1;0
71932;4960203;0;1;0
72357;25526279;0;1;1
73551;25696852;0;1;0
73656;23987206;0;1;0
74079;15939272;0;1;0
74393;25966770;0;1;1
74821;25572598;0;1;1
75152;12893480;1;1;1
75306;26155009;0;1;1
75754;25904151;0;1;1
75957;16098220;1;1;1
76088;25939436;0;1;1
76088;25941298;0;1;1
76370;19932458;0;1;0
76638;26585549;0;1;0
77778;27005778;0;1;0
77907;11118464;0;1;1
78125;26138027;0;1;0
78593;280209;0;1;0
78602;26790666;0;1;0
79488;26331832;0;1;1
79876;25289334;0;1;0
80647;3208874;0;1;1
80837;9891658;0;1;1
81435;16820177;0;1;0
83292;26196606;0;1;0
83373;26409305;0;1;1
83373;26421898;0;1;1
83515;25381510;0;1;1
84034;25412560;0;1;1
84235;25733582;0;1;0
84714;26414055;0;1;0
85966;25943936;0;1;1
85968;25408100;0;1;1
86463;27630815;0;1;0
86751;25337459;0;1;1
86875;24750290;0;1;1
87614;25331054;0;1;1
88015;26644399;0;1;1
88065;10031109;1;1;0
88065;18091162;0;1;0
89448;25777007;0;1;0
89448;26150110;0;1;1
89481;25698979;0;1;1
89719;26504751;0;1;0
89719;26507521;0;1;0
89794;26693286;0;1;0
89812;25724670;0;1;1
90054;26223238;0;1;0
90236;27395716;0;1;0
90525;25882097;0;1;0
90525;26440413;0;1;0
90855;14768091;0;1;1
91337;25683383;0;1;1
91623;26797422;0;1;0
92319;12295796;1;1;1
92501;13735720;0;1;1
94346;26206655;0;1;0
94469;13457768;0;1;1
94581;26171949;0;1;0
94899;25774834;0;1;0
94900;25343928;0;1;0
95257;26409800;0;1;0
95854;26523445;0;1;1
95901;25251967;0;1;1
96083;3548784;0;1;1
96094;27576259;0;1;1
96422;3352673;0;1;1
96556;26333405;0;1;0
96633;26440236;0;1;1
96767;12748241;0;1;0
97950;25938212;0;1;1
98463;25232982;0;1;1
98546;26145123;0;1;1
98877;6304894;0;1;0
98908;26410651;0;1;0
98912;26573166;0;1;0
99319;5964160;0;1;1
99812;8564460;0;1;0
100066;26022831;0;1;1
100549;3536248;0;1;1
100709;25676013;0;1;0
101763;26209498;0;1;0
102612;9179801;0;1;1
102612;26793398;0;1;0
102913;6950745;0;1;1
103472;18651448;0;1;1
104064;2206270;0;1;1
104072;26380532;0;1;1
104569;25939564;0;1;1
104692;25565972;0;1;1
104953;25563543;0;1;0
106651;26200976;0;1;0
106817;25853219;0;1;0
107042;27192160;0;1;0
107282;26523162;0;1;1
107499;26448615;0;1;1
107732;24172482;0;1;1
107732;27210828;0;1;1
108181;26510344;0;1;0
108872;25769524;0;1;0
109150;26188584;0;1;0
109372;14171205;0;1;1
109372;16326468;0;1;1
109372;27205641;0;1;1
109502;10721617;0;1;0
109672;18620697;0;1;0
110323;13754066;0;1;1
111042;19115491;0;1;0
111042;26834656;0;1;1
111167;25732369;0;1;0
111330;26699465;0;1;1
111910;9283213;0;1;0
111910;21910566;0;1;0
112289;4817831;1;1;1
112616;7488408;1;1;1
