mrun;rbd_admitido_geo_con_error;cod_curso_admitido_geo_con_error
136098;12115;131000000133
136471;12243;511000000133
136584;11906;711000000131
136742;420;351052013133
136816;5441;311000000133
136994;7338;511000000133
137165;10716;811000000131
137260;10526;131000000133
138365; ; 
139301;9730;511000000133
139807;12117;131000000133
140651;9887;131000000133
140997;16729;131000000133
141501;9281;231000000133
141703;5703;131000000133
141743;2013;231000000133
142551;25471;611000000132
142661;10077;131000000133
142852;4565;331000000133
143336;4572;131000000131
144994;24685;131000000133
145065;25279;411000000131
145103;25369;411000000133
145159;3723;711000000133
145775;9140;711000000133
147020;15502;411000000131
147078;9686;131000000133
147284;2448;131000000133
149807; ; 
150021;4483;131000000133
150404;10205;411000000133
150547;8928;431000000121
150581;280;131000000133
151046;14210;131000000133
151047;9342;711000000132
151431;646;811000000133
151475;2105;131000000133
152170;9781;351056027133
152462;11036;411000000133
152948;2939;231000000133
153197;25089;411000000133
154013;9592;711000000133
154640;4631;231000000133
155001;2250;611000000133
155929;14823;411000000133
155984;6070;131000000133
156613;10077;341041005133
156755;4166;131000000113
158428;10457;331000000133
158451;10456;131000000133
158917;22752;711000000133
160246;1503;131000000133
160568;516;131000000133
160806;5569;811000000133
161144;8841;411000000133
161245;10641;131000000133
161270;10255;131000000133
161308;5658;231000000131
161432;12255;411000000132
161537;12115;131000000133
162182;24209;311000000133
162546;5569;131000000133
162837;12823;231000000133
163252;12686;361064008133
163511;9982;131000000131
163672;2793;131000000131
163758;25853;131000000133
164268;2174;511000000131
165064;9283;711000000233
165778;4287;251053014133
166189;5654;611000000133
166345;31;611000000133
166534;16502;131000000233
167899;24878;341041005133
168057;3886;231000000131
168850;6584;131000000133
170306;4951;231000000133
170477;292;611000000133
171060;8589;131000000133
171318;15676;711000000133
171857;4165;131000000133
172607;7629;331000000133
172681;2217;331000000133
173629;25542;511000000133
173862;10475;511000000133
173944;4983;811000000133
174064;7135;131000000133
174119; ; 
174347;6188;411000000133
174903;6090;411000000133
175013;25091;431000000133
175849;8487;331000000111
175929;2794;131000000133
176167;4574;231000000113
176248;8488;431000000113
176400;26274;131000000133
176685;2104;231000000133
176745;9863;231000000133
177513;3786;711000000133
177813;25462;811000000133
178048;1909;511000000331
178250;16569;611000000131
178987;16886;131000000133
179841;11038;131000000133
180401;15745;811000000133
180439;31388;131000000133
180657;4533;361064001111
180815;1271;811000000133
181212;9862;361064001133
181280;10711;131000000133
181662;108;351052013133
182178;17833;431000000133
182435;24685;231000000133
182786;9659;131000000233
182791;305;711000000133
183184;11608;711000000133
184403;9328;131000000131
184444;11809;811000000131
185280;3270;511000000133
185774;2745;411000000133
187020;5613;811000000133
187132;10307;311000000133
187389;26424;711000000133
187650;31030;131000000133
188079;5666;231000000132
188756;9209;131000000113
189088;16652;131000000133
189831;6112;611000000233
190201;12242;131000000133
190237;25542;511000000133
190493;8487;231000000112
190536;2319;131000000133
190611;5128;411000000113
191004;9891;811000000131
191593;578;441041005133
192204;15646;331000000133
192649;373;331000000133
192848;8930;431000000111
193524;4578;711000000133
193725;13333;471072007133
193878;31005;131000000133
194630;25288;811000000133
194732;26037;131000000133
195239;7772;351052010133
196167;9082;231000000133
196300;10638;511000000233
196573;24685;341041005133
196816;15515;811000000133
196914;9489;341041002133
197099;24420;511000000131
197691;9289;811000000133
198436;2939;131000000133
198691;40073;611000000133
200223;12225;611000000133
200294;8507;131000000131
200854;22588;711000000133
201159;5315;711000000133
201531;31432;811000000133
202243;24626;811000000133
202321;9065;131000000131
202659;25303;131000000131
203555;25095;131000000131
203962;8514;131000000111
204600;4977;231000000133
205103;8348;811000000133
205254;18049;431000000133
205539;1489;131000000133
206208;8457;231000000113
206596;4984;811000000133
207485;10967;331000000133
207901;1199;231000000133
209912;19;411000000133
210452;17638;611000000133
212661;8813;231000000131
213273;3305;131000000133
213506;9779;131000000133
214683;2123;231000000133
215567;2657;361061003133
216091;22752;171072007133
216915;11608;231000000133
217190;8930;431000000111
217409;1339;511000000133
218453;10450;411000000133
219321;10396;131000000133
219532;5662;231000000132
219698;9897;231000000133
220111;4560;131000000133
220116;26137;611000000133
220442;25352;711000000133
220696;9194;511000000131
220868;4181;811000000133
221323;1587;611000000111
222030;25766;231000000133
222231;302;711000000133
223312;26501;131000000133
223381;26172;511000000133
223885;8;131000000133
224070;1685;351051009133
224384;9906;811000000133
224512;8997;231000000131
224622;9759;231000000111
224855;26115;431000000133
225292;24685;511000000133
225409;10507;131000000113
225840;40298;511000000133
226134;9328;341041005131
226283;1194;231000000133
226428;25032;231000000133
226842; ; 
226881;2283;131000000133
227077; ; 
227096;9584;131000000133
227555;22544;131000000133
228217;10076;131000000133
228329;4665;811000000131
228616;6766;131000000133
229851;2862;711000000131
230597;5440;711000000133
230617;10746;331000000133
231267;10103;311000000133
231353;280;131000000133
231354;16587;131000000133
232587;8510;131000000113
232687;229;811000000133
233327;22358;611000000133
233885;14606;231000000133
234152;9061;231000000133
234323;9006;131000000133
234410;1213;131000000133
235183;24864;711000000133
235374;18066;131000000133
235630;6273;411000000133
236260;22114;131000000233
236810;5654;411000000133
237001;10705;711000000133
237639;2109;131000000113
237715;2050;511000000132
238246;254;331000000113
238343;3538;231000000133
238674;8;131000000133
238857;11265;131000000133
239238;25853;131000000133
239519;4951;131000000133
239958;10404;711000000133
239998;7636;811000000133
240041;379;131000000133
240245;22688;811000000133
241069;24714;131000000133
241238;8442;131000000233
241485;9660;331000000133
242997;5669;131000000113
243201;9959;131000000133
243751;10470;131000000133
244028;24686;131000000133
244036;1352;711000000233
244446;41899;511000000133
245328;616;811000000133
246313; ; 
246402;31343;711000000133
246520;6273;711000000133
246647;2111;461064008133
247139;10725;131000000133
247145;12588;411000000132
247665;16729;131000000133
248367;4585;131000000133
248813;5666;131000000132
250252;1590;351053014123
250536; ; 
250591;646;711000000133
250804;25543;131000000131
251387;3539;711000000133
251666;12591;611000000133
251875;9082;131000000133
252179;40078;411000000133
252514;8485;711000000132
252910;6085;131000000133
253541;284;131000000133
253878;14587;611000000133
254032;6085;231000000133
255034;1930;411000000133
255213;9865;331000000133
255326;1975;811000000133
255708;4531;331000000131
255976;1050;411000000133
255999;8507;341041002131
256305;16747;511000000133
256359;9409;461064008111
256998;24686;131000000133
256999;5343;131000000133
257092;449;131000000133
257588;12037;411000000133
258145;30006;611000000133
