mrun;cod_nivel;es_mujer;prioritario;alto_rendimiento;lat_con_error;lon_con_error
26294862;2;1;1;0;-35,8458114;-71,5712357
26294880;2;0;0;0;-33,382304;-70,7173998
26294907;2;1;1;0;-33,5501456;-70,7623249
26294969;2;1;0;0;-20,229372;-70,1416211
26295049;2;1;0;0;-29,9218896;-71,2718233
26295203;2;0;1;0;-33,0322697;-71,6465093
26295318;2;1;0;0;-33,4762847;-70,6228823
26295328;2;0;0;0;-36,8360523;-73,0044752
26295363;2;0;0;0;-39,8169251;-73,2455485
26295435;2;0;1;0;-33,0420416;-71,6267036
26295494;2;1;0;0;-33,4476479;-70,7639492
26295539;2;0;1;0;-33,5798505;-70,5906016
26295611;2;1;0;0;-33,4833076;-70,7586723
26295625;2;1;1;0;-33,5276306;-70,5666606
26295745;9;1;0;1;-33,4563226;-70,659089
26295831;7;1;0;1;-33,4226337;-70,6663306
26295845;2;1;1;0;-33,5850207;-71,5987287
26295910;2;0;0;0;-34,1843559;-70,7102724
26295976;2;0;1;0;-33,259381;-70,7213051
26295978;2;1;1;0;-33,6795305;-71,1741594
26296071;2;1;0;0;-33,4552241;-70,5715085
26296217;2;0;0;0;-33,4598423;-70,7350823
26296249;2;0;1;0;-41,4598306;-72,9500143
26296341;2;0;0;0;-33,4393246;-70,6792008
26296418;2;1;0;0;-33,3551144;-70,7365465
26296576;2;1;1;0;-33,3895908;-70,692043
26296650;3;1;0;0;-33,4648555;-70,6491235
26296714;2;1;0;0;-36,9400124;-73,0205716
26296748;2;0;0;0;-20,2382469;-70,1469263
26296812;2;0;0;0;-33,2100876;-70,6857664
26296873;2;0;0;0;-33,1146469;-71,5841731
26297070;2;0;1;0;-22,4587136;-68,9151984
26297103;2;1;0;0;-33,585807;-70,5693162
26297117;2;0;1;0;-36,9265366;-73,027648
26297155;2;1;0;0;-40,5760331;-73,1374977
26297258;4;0;1;0;-18,4715927;-70,3042712
26297332;2;0;1;0;-33,6163757;-70,6203162
26297509;1;1;1;0;-33,7502858;-70,7856639
26297512;2;0;1;0;-32,5048092;-71,4410771
26297516;3;0;1;0;-23,6499465;-70,3953135
26297650;2;0;1;0;-34,0880357;-70,8205214
26297778;2;1;0;0;-33,5419151;-70,569678
26297821;2;0;0;0;-33,4315821;-70,7058977
26297940;2;1;0;0;-38,7410166;-72,6339562
26297975;2;1;0;0;-33,4540767;-70,6721993
26297995;2;1;0;0;-33,4125515;-70,5513894
26298118;2;0;0;0;-38,7439533;-72,9359241
26298344;2;0;1;0;-36,8117114;-73,0589165
26298387;2;0;1;0;-33,450806;-70,7516179
26298493;2;1;0;0;-33,3205402;-71,407665
26298523;2;0;1;0;-32,7862293;-71,5240365
26298550;2;0;0;0;-33,3911009;-70,5344048
26298577;2;1;1;0;-33,4313207;-70,6895346
26298593;2;0;0;0;-33,4650755;-70,7490757
26298688;2;0;0;0;-35,448243;-71,6870283
26298707;2;1;0;0;-33,053503;-71,4143633
26298732;5;1;0;0;-35,426263;-71,666673
26298890;2;0;0;0;-38,7412438;-72,6097835
26298899;2;0;1;0;-33,4687503;-70,7556029
26298901;2;1;1;0;-37,4670555;-72,3748005
26298951;2;0;0;0;-36,9288893;-73,0263695
26299007;2;1;0;0;-33,726012;-70,9144978
26299030;2;0;1;0;-33,4953996;-70,6426647
26299093;2;0;1;0;-38,7208247;-72,6288129
26299233;2;0;0;0;-33,4038172;-70,6410712
26299327;2;1;1;0;-33,5454843;-70,6885273
26299362;2;1;0;0;-23,53291;-70,3960057
26299452;2;1;1;0;-33,4169606;-70,6536509
26299487;2;0;0;0;-33,2892456;-70,8818301
26299502;3;0;1;0;-33,5454958;-70,7862137
26299526;2;0;1;0;-33,6121642;-70,68331
26299563;2;1;0;0;-33,465724;-70,7325016
26299609;2;1;0;0;-33,4698233;-70,6218079
26299638;9;1;1;0;-35,4436606;-71,6221018
26299670;2;0;1;0;-41,4682928;-72,9823298
26299961;1;0;1;0;-33,4756787;-70,5820427
26299994;2;1;1;0;-40,3365506;-72,9566958
26300047;2;0;0;0;-33,7316302;-70,720061
26300091;2;0;0;0;-33,6742753;-71,2033267
26300107;4;1;0;1;-33,5013762;-70,6650078
26300216;2;0;1;0;-33,5974728;-70,7029223
