mrun;cod_nivel;rbd_admitido;cod_curso_admitido
116814;9;52;131000000133
117516;11;2066;351051006133
117541;10;1515;231000000133
118670;6;312;611000000133
120119;9; ; 
120395;5;1917;511000000131
120406;9;2486;131000000133
120894;11;26164;331000000133
121115;7;14917;711000000133
121273;10;5666;231000000132
121382;8;13143;811000000133
121545;9;10845;131000000133
121767;5;11761;511000000131
122403;7;227;711000000133
122980;9;12242;131000000133
124615;7;8997;711000000132
125049;4;25369;411000000133
125364;7;13376;711000000133
125502;11;1520;331000000133
126492;6;10171;611000000132
126547;11;25562;331000000133
126641;3;24407;311000000113
126686;9;19913;131000000133
127010;9;1881;131000000133
127485;6;4742;611000000133
128092;9;13333;131000000133
128217;9;8812;131000000131
129028;9;25853;131000000133
129533;5;3717;511000000133
129988;4;14237;411000000133
130161;5;7128;511000000133
130224;11;3642;361064001111
131464;9;22140;151051005133
131605;11;25458;341041005131
131896;9;4165;131000000133
132227;8;25788;811000000133
132432;7;8485;711000000132
132632;9;1663;131000000131
133605;10;25396;231000000133
133872;5;621;511000000133
133889;11;2013;341041005133
134057;7;8552;711000000121
134658;9;9659;131000000233
135582;9;9293;131000000133
136025;9;9111;131000000133
136098;9;12115;131000000133
136471;5;12243;511000000133
136584;7;11906;711000000131
136742;11;420;351052013133
136816;3;5441;311000000133
136994;5;7338;511000000133
137165;8;10716;811000000131
137260;9;10526;131000000133
138365;9; ; 
139301;5;9730;511000000133
139807;9;12117;131000000133
140651;9;9887;131000000133
140997;9;16729;131000000133
141501;10;9281;231000000133
141703;9;5703;131000000133
141743;10;2013;231000000133
142551;6;25471;611000000132
142661;9;10077;131000000133
142852;11;4565;331000000133
143336;9;4572;131000000131
144994;9;24685;131000000133
145065;4;25279;411000000131
145103;4;25369;411000000133
145159;7;3723;711000000133
145775;7;9140;711000000133
147020;4;15502;411000000131
147078;9;9686;131000000133
147284;9;2448;131000000133
149807;9; ; 
150021;9;4483;131000000133
150404;4;10205;411000000133
150547;12;8928;431000000121
150581;9;280;131000000133
151046;9;14210;131000000133
151047;7;9342;711000000132
151431;8;646;811000000133
151475;9;2105;131000000133
152170;11;9781;351056027133
152462;4;11036;411000000133
152948;10;2939;231000000133
153197;4;25089;411000000133
154013;7;9592;711000000133
154640;10;4631;231000000133
155001;6;2250;611000000133
155929;4;14823;411000000133
155984;9;6070;131000000133
156613;11;10077;341041005133
156755;9;4166;131000000113
158428;11;10457;331000000133
158451;9;10456;131000000133
158917;7;22752;711000000133
160246;9;1503;131000000133
160568;9;516;131000000133
160806;8;5569;811000000133
161144;4;8841;411000000133
161245;9;10641;131000000133
161270;9;10255;131000000133
161308;10;5658;231000000131
161432;4;12255;411000000132
161537;9;12115;131000000133
162182;3;24209;311000000133
162546;9;5569;131000000133
162837;10;12823;231000000133
163252;11;12686;361064008133
163511;9;9982;131000000131
163672;9;2793;131000000131
163758;9;25853;131000000133
164268;5;2174;511000000131
165064;7;9283;711000000233
165778;10;4287;251053014133
166189;6;5654;611000000133
166345;6;31;611000000133
166534;9;16502;131000000233
167899;11;24878;341041005133
168057;10;3886;231000000131
168850;9;6584;131000000133
170306;10;4951;231000000133
170477;6;292;611000000133
171060;9;8589;131000000133
171318;7;15676;711000000133
171857;9;4165;131000000133
172607;11;7629;331000000133
172681;11;2217;331000000133
173629;5;25542;511000000133
173862;5;10475;511000000133
173944;8;4983;811000000133
174064;9;7135;131000000133
174119;9; ; 
174347;4;6188;411000000133
174903;4;6090;411000000133
175013;12;25091;431000000133
175849;11;8487;331000000111
175929;9;2794;131000000133
176167;10;4574;231000000113
176248;12;8488;431000000113
176400;9;26274;131000000133
176685;10;2104;231000000133
176745;10;9863;231000000133
177513;7;3786;711000000133
177813;8;25462;811000000133
178048;5;1909;511000000331
178250;6;16569;611000000131
178987;9;16886;131000000133
179841;9;11038;131000000133
180401;8;15745;811000000133
180439;9;31388;131000000133
180657;11;4533;361064001111
180815;8;1271;811000000133
181212;11;9862;361064001133
181280;9;10711;131000000133
181662;11;108;351052013133
182178;12;17833;431000000133
182435;10;24685;231000000133
182786;9;9659;131000000233
182791;7;305;711000000133
183184;7;11608;711000000133
184403;9;9328;131000000131
184444;8;11809;811000000131
185280;5;3270;511000000133
185774;4;2745;411000000133
187020;8;5613;811000000133
187132;3;10307;311000000133
187389;7;26424;711000000133
187650;9;31030;131000000133
188079;10;5666;231000000132
188756;9;9209;131000000113
