school_id,grade_id,program_id,regular_vacancies
52,2,346,49
52,3,347,30
52,4,348,18
52,5,349,20
52,6,350,11
52,7,351,37
52,8,352,16
52,9,353,217
52,10,354,61
52,11,355,3
52,11,356,3
52,11,357,1
52,11,358,5
52,12,359,0
52,12,360,4
52,12,361,10
52,12,362,1
56,0,363,54
56,1,364,27
56,2,365,2
56,3,366,0
56,4,367,3
56,5,368,2
56,6,369,0
56,7,370,4
56,8,371,0
56,9,372,0
56,10,373,0
56,11,374,3
56,12,375,3
60,-1,376,70
60,0,377,15
60,1,378,12
60,2,379,1
60,3,380,10
60,4,381,3
60,5,382,1
60,6,383,4
60,7,384,4
60,8,385,3
60,9,386,7
60,10,387,1
60,11,388,1
60,12,389,2
67,0,390,23
67,0,391,23
67,1,392,25
67,2,393,8
67,3,394,13
67,4,395,6
67,5,396,12
67,6,397,6
67,7,398,4
67,8,399,3
67,9,400,4
67,10,401,5
67,11,402,4
67,12,403,0
70,1,404,2
70,2,405,2
70,3,406,2
70,4,407,1
70,5,408,1
70,6,409,1
72,1,410,6
72,2,411,4
72,3,412,1
72,4,413,3
72,5,414,2
72,6,415,2
72,7,416,9
72,8,417,3
72,9,418,0
72,10,419,4
72,11,420,1
72,12,421,4
73,1,422,2
73,2,423,2
73,3,424,2
73,4,425,1
73,5,426,2
73,6,427,2
74,1,428,3
74,2,429,1
74,3,430,0
74,4,431,0
74,5,432,0
74,6,433,1
75,1,434,3
75,2,435,2
75,3,436,2
75,4,437,1
75,5,438,2
75,6,439,2
76,1,440,4
76,2,441,1
76,3,442,3
76,4,443,1
76,5,444,1
76,6,445,1
78,-1,446,16
78,0,447,10
78,1,448,16
78,2,449,15
78,3,450,11
78,4,451,12
78,5,452,13
78,6,453,13
78,7,454,13
78,8,455,7
78,9,456,7
78,10,457,7
78,11,458,16
78,12,459,3
79,1,460,2
79,2,461,2
79,3,462,2
79,4,463,1
79,5,464,1
79,6,465,1
81,1,466,0
81,2,467,1
81,3,468,0
81,4,469,1
81,5,470,0
81,6,471,1
82,1,472,2
82,2,473,1
82,3,474,2
82,4,475,2
82,5,476,1
82,6,477,2
83,1,478,1
83,2,479,0
83,3,480,2
83,4,481,2
83,5,482,1
83,6,483,1
84,1,484,1
84,2,485,1
84,3,486,2
84,4,487,2
84,5,488,1
84,6,489,1
86,1,490,1
86,2,491,2
86,3,492,1
86,4,493,2
86,5,494,2
86,6,495,1
87,1,496,1
87,2,497,1
87,3,498,1
87,4,499,1
87,5,500,1
87,6,501,1
88,1,502,1
88,2,503,1
88,3,504,3
88,4,505,2
88,5,506,2
88,6,507,1
89,1,508,1
89,2,509,2
89,3,510,1
89,4,511,1
89,5,512,2
89,6,513,1
90,1,514,6
90,2,515,3
90,3,516,4
90,4,517,3
90,5,518,3
90,6,519,3
90,7,520,2
90,8,521,3
91,1,522,1
91,2,523,1
91,3,524,1
91,4,525,1
91,5,526,1
91,6,527,2
92,1,528,2
92,2,529,1
92,3,530,2
92,4,531,2
92,5,532,2
92,6,533,1
93,1,534,2
93,2,535,2
93,3,536,1
93,4,537,1
93,5,538,1
93,6,539,2
94,1,540,2
94,2,541,0
94,3,542,1
94,4,543,1
94,5,544,0
94,6,545,1
95,1,546,1
95,2,547,1
95,3,548,1
95,4,549,1
95,5,550,1
95,6,551,1
97,9,552,185
97,10,553,45
97,11,554,12
97,11,555,23
97,11,556,4
97,12,557,4
97,12,558,13
97,12,559,4
106,7,560,38
106,8,561,15
106,9,562,119
106,10,563,56
106,11,564,10
106,11,565,9
106,11,566,14
106,11,567,9
106,12,568,6
106,12,569,6
106,12,570,20
106,12,571,15
107,7,572,38
107,8,573,43
107,9,574,139
107,10,575,77
107,11,576,52
107,12,577,48
108,9,578,204
108,10,579,40
108,11,580,12
108,11,581,5
108,11,582,24
108,11,583,22
108,11,584,12
108,11,585,21
108,12,586,12
108,12,587,1
108,12,588,5
108,12,589,17
108,12,590,12
108,12,591,5
109,1,592,40
109,2,593,4
109,3,594,5
109,4,595,5
109,5,596,41
109,6,597,46
109,7,598,10
109,8,599,12
109,9,600,44
109,10,601,22
109,11,602,3
109,11,603,24
109,11,604,27
109,11,605,7
109,12,606,6
109,12,607,10
109,12,608,12
109,12,609,2
110,-1,610,70
110,0,611,10
110,1,612,12
110,2,613,5
110,3,614,12
110,4,615,8
110,5,616,10
110,6,617,7
110,7,618,11
110,8,619,8
110,9,620,24
110,10,621,13
110,11,622,10
110,12,623,12
111,-1,624,70
111,0,625,9
111,1,626,10
111,2,627,6
111,3,628,6
111,4,629,4
111,5,630,5
111,6,631,13
111,7,632,3
111,8,633,10
112,-1,634,30
112,-1,635,30
112,0,636,3
112,0,637,5
112,1,638,12
112,2,639,4
112,3,640,11
112,4,641,2
112,5,642,10
112,6,643,6
112,7,644,11
112,8,645,1
113,-1,646,70
113,0,647,5
113,1,648,38
113,2,649,13
113,3,650,14
113,4,651,6
113,5,652,18
113,6,653,12
113,7,654,14
113,8,655,13
114,0,656,5
114,1,657,35
114,2,658,3
114,3,659,6
114,4,660,5
114,5,661,4
114,6,662,5
114,7,663,7
114,8,664,1
116,-1,665,70
116,0,666,7
116,1,667,3
116,2,668,0
116,3,669,11
116,4,670,8
116,5,671,0
116,6,672,7
116,7,673,3
116,8,674,6
117,-1,675,35
117,0,676,32
117,1,677,44
117,2,678,9
117,3,679,9
117,4,680,7
117,5,681,14
117,6,682,10
117,7,683,10
117,8,684,3
119,-1,685,35
119,0,686,5
119,1,687,38
119,2,688,9
119,3,689,10
119,4,690,5
119,5,691,6
119,6,692,8
119,7,693,8
119,8,694,3
122,-1,695,25
122,0,696,5
122,1,697,7
122,2,698,3
122,3,699,7
122,4,700,5
122,5,701,4
122,6,702,7
122,7,703,8
122,8,704,5
123,-1,705,35
123,0,706,11
123,1,707,41
123,2,708,24
123,3,709,16
123,4,710,21
123,5,711,15
123,6,712,21
123,7,713,15
123,8,714,16
124,9,715,295
124,10,716,47
124,11,717,0
124,11,718,8
124,11,719,0
124,11,720,4
124,11,721,12
124,11,722,1
124,12,723,5
124,12,724,6
124,12,725,18
124,12,726,5
124,12,727,7
124,12,728,7
125,-1,729,70
125,0,730,15
125,1,731,26
125,2,732,3
125,3,733,6
125,4,734,15
125,5,735,6
125,6,736,25
125,7,737,10
125,8,738,16
125,9,739,52
125,10,740,14
125,11,741,35
125,12,742,15
126,-1,743,60
126,0,744,12
126,1,745,18
126,2,746,9
126,3,747,13
126,4,748,4
126,5,749,7
126,6,750,10
126,7,751,9
126,8,752,7
127,1,753,76
127,2,754,17
127,3,755,6
127,4,756,17
127,5,757,8
127,6,758,6
127,7,759,8
127,8,760,6
127,9,761,20
127,10,762,9
127,11,763,6
127,12,764,4
129,-1,765,5
129,0,766,14
129,1,767,16
129,2,768,9
129,3,769,6
129,4,770,8
129,5,771,5
129,6,772,4
129,7,773,9
129,8,774,9
129,9,775,13
129,10,776,12
129,11,777,12
129,12,778,11
130,1,779,32
130,2,780,9
130,3,781,9
130,4,782,5
130,5,783,0
130,6,784,5
130,7,785,2
130,8,786,5
130,9,787,8
130,10,788,3
130,11,789,1
130,12,790,1
131,1,791,25
131,2,792,16
131,3,793,15
131,4,794,14
131,5,795,8
131,6,796,15
131,7,797,6
131,8,798,10
131,9,799,19
131,10,800,12
131,11,801,20
131,12,802,7
132,0,803,79
132,0,804,79
132,1,805,39
132,2,806,4
132,3,807,5
132,4,808,4
132,5,809,2
132,6,810,51
132,7,811,11
132,8,812,13
132,9,813,19
132,10,814,12
132,11,815,3
132,12,816,0
133,-1,817,35
133,0,818,4
133,1,819,33
133,2,820,3
133,3,821,2
133,4,822,0
133,5,823,0
133,6,824,0
133,7,825,4
133,8,826,2
133,9,827,3
133,10,828,5
133,11,829,5
133,12,830,0
134,1,831,31
134,2,832,10
134,3,833,7
134,4,834,3
134,5,835,9
134,6,836,6
134,7,837,4
134,8,838,4
134,9,839,5
134,10,840,8
134,11,841,9
134,12,842,3
144,1,843,26
144,2,844,15
144,3,845,4
144,4,846,10
144,5,847,10
144,6,848,9
144,7,849,5
144,8,850,17
144,9,851,19
144,10,852,12
144,11,853,7
144,12,854,7
154,1,855,6
154,2,856,1
154,3,857,2
154,4,858,1
154,5,859,2
154,6,860,1
154,7,861,2
154,8,862,1
156,-1,863,6
156,0,864,1
156,1,865,1
156,2,866,0
156,3,867,4
156,4,868,2
156,5,869,9
156,6,870,6
156,7,871,4
156,8,872,6
158,1,873,2
158,2,874,2
158,3,875,2
158,4,876,1
158,5,877,2
158,6,878,1
159,1,879,2
159,2,880,2
159,3,881,1
159,4,882,1
159,5,883,2
159,6,884,2
160,-1,885,10
160,0,886,4
160,1,887,8
160,2,888,7
160,3,889,2
160,4,890,9
160,5,891,6
160,6,892,5
160,7,893,3
160,8,894,6
161,-1,895,35
161,0,896,5
161,1,897,3
161,2,898,6
161,3,899,7
161,4,900,3
161,5,901,6
161,6,902,4
161,7,903,9
161,8,904,3
161,9,905,6
161,10,906,13
161,11,907,7
161,12,908,2
162,1,909,9
162,2,910,0
162,3,911,2
162,4,912,3
162,5,913,8
162,6,914,4
162,7,915,4
162,8,916,5
165,1,917,3
165,2,918,3
165,3,919,3
165,4,920,3
165,5,921,2
165,6,922,3
167,0,923,20
167,1,924,8
167,2,925,6
167,3,926,9
167,4,927,9
167,5,928,6
167,6,929,7
167,7,930,15
167,8,931,5
168,1,932,2
168,2,933,1
168,3,934,0
168,4,935,1
168,5,936,1
168,6,937,1
169,1,938,2
169,2,939,0
169,3,940,2
169,4,941,0
169,5,942,0
169,6,943,1
170,1,944,2
170,2,945,1
170,3,946,3
170,4,947,0
170,5,948,1
170,6,949,2
171,1,950,3
171,2,951,1
171,3,952,0
171,4,953,3
171,5,954,2
171,6,955,0
172,1,956,4
172,2,957,2
172,3,958,4
172,4,959,2
172,5,960,3
172,6,961,3
173,1,962,2
173,2,963,0
173,3,964,0
173,4,965,2
173,5,966,1
173,6,967,2
174,1,968,5
174,2,969,3
174,3,970,3
174,4,971,3
174,5,972,0
174,6,973,2
175,1,974,2
175,2,975,0
175,3,976,2
175,4,977,2
175,5,978,1
175,6,979,2
177,1,980,4
177,2,981,3
177,3,982,2
177,4,983,1
177,5,984,5
177,6,985,4
178,-1,986,8
178,0,987,3
178,1,988,2
178,2,989,2
178,3,990,3
178,4,991,6
178,5,992,6
178,6,993,5
178,7,994,5
178,8,995,4
178,9,996,2
178,10,997,3
178,11,998,7
178,11,999,3
178,12,1000,3
178,12,1001,2
179,1,1002,5
179,2,1003,5
179,3,1004,5
179,4,1005,5
179,5,1006,5
179,6,1007,5
185,1,1008,5
185,2,1009,5
185,3,1010,3
185,4,1011,5
185,5,1012,3
185,6,1013,4
186,1,1014,3
186,2,1015,2
186,3,1016,3
186,4,1017,3
186,5,1018,1
186,6,1019,1
187,-1,1020,30
187,0,1021,12
187,1,1022,3
187,2,1023,0
187,3,1024,0
187,4,1025,0
187,5,1026,0
187,6,1027,0
187,7,1028,0
187,8,1029,0
188,-1,1030,12
188,0,1031,2
188,1,1032,3
188,2,1033,5
188,3,1034,4
188,4,1035,7
188,5,1036,3
188,6,1037,1
188,7,1038,10
188,8,1039,2
191,9,1040,225
191,10,1041,33
191,11,1042,2
191,11,1043,13
191,11,1044,6
191,11,1045,3
191,11,1046,10
191,12,1047,5
191,12,1048,4
191,12,1049,20
191,12,1050,3
191,12,1051,6
192,-1,1052,6
192,0,1053,4
192,1,1054,1
192,2,1055,2
192,3,1056,1
192,4,1057,3
192,5,1058,4
192,6,1059,1
192,7,1060,5
192,8,1061,4
193,-1,1062,60
193,0,1063,12
193,1,1064,6
193,2,1065,6
193,3,1066,2
193,4,1067,1
193,5,1068,4
193,6,1069,4
193,7,1070,4
193,8,1071,5
195,-1,1072,30
195,0,1073,1
195,1,1074,2
195,2,1075,0
195,3,1076,1
195,4,1077,0
195,5,1078,1
195,6,1079,3
195,7,1080,1
195,8,1081,0
196,1,1082,2
196,2,1083,0
196,3,1084,0
196,4,1085,0
196,5,1086,1
196,6,1087,2
196,7,1088,1
196,8,1089,4
198,-1,1090,9
198,0,1091,0
198,1,1092,0
198,2,1093,1
198,3,1094,5
198,4,1095,0
198,5,1096,0
198,6,1097,0
198,7,1098,3
198,8,1099,1
199,7,1100,70
199,8,1101,37
199,9,1102,104
199,10,1103,39
199,11,1104,21
199,11,1105,10
199,12,1106,6
199,12,1107,10
200,9,1108,127
200,10,1109,17
200,11,1110,4
200,11,1111,2
200,11,1112,1
200,11,1113,2
200,11,1114,18
200,12,1115,5
200,12,1116,2
200,12,1117,5
200,12,1118,3
200,12,1119,7
201,-1,1120,70
201,0,1121,39
201,1,1122,38
201,2,1123,26
201,3,1124,20
201,4,1125,9
201,5,1126,23
201,6,1127,20
201,7,1128,23
201,8,1129,8
203,-1,1130,53
203,0,1131,17
203,1,1132,46
203,2,1133,32
203,3,1134,13
203,4,1135,7
203,5,1136,30
203,6,1137,3
203,7,1138,4
203,8,1139,3
204,-1,1140,70
204,0,1141,5
204,1,1142,5
204,2,1143,8
204,3,1144,5
204,4,1145,2
204,5,1146,11
204,6,1147,1
204,7,1148,5
204,8,1149,3
205,-1,1150,60
205,0,1151,24
205,1,1152,26
205,2,1153,30
205,3,1154,8
205,4,1155,17
205,5,1156,39
205,6,1157,30
205,7,1158,9
205,8,1159,0
206,-1,1160,70
206,0,1161,39
206,1,1162,29
206,2,1163,25
206,3,1164,21
206,4,1165,18
206,5,1166,37
206,6,1167,19
208,-1,1168,70
208,0,1169,6
208,1,1170,23
208,2,1171,11
208,3,1172,4
208,4,1173,2
208,5,1174,15
208,6,1175,10
208,7,1176,4
208,8,1177,0
208,9,1178,40
208,10,1179,4
208,11,1180,1
208,12,1181,11
210,-1,1182,60
210,0,1183,24
210,1,1184,41
210,2,1185,29
210,3,1186,27
210,4,1187,30
210,5,1188,14
210,6,1189,21
210,7,1190,23
210,8,1191,21
211,9,1192,90
211,10,1193,9
211,11,1194,2
211,11,1195,11
211,11,1196,16
211,12,1197,15
211,12,1198,6
211,12,1199,21
214,1,1200,10
214,2,1201,9
214,3,1202,6
214,4,1203,8
214,5,1204,5
214,6,1205,1
217,9,1206,189
217,10,1207,17
217,11,1208,45
217,12,1209,17
218,9,1210,150
218,10,1211,19
218,11,1212,23
218,11,1213,17
218,12,1214,8
218,12,1215,17
219,9,1216,299
219,10,1217,67
219,11,1218,3
219,11,1219,6
219,11,1220,3
219,11,1221,2
219,11,1222,15
219,12,1223,3
219,12,1224,5
219,12,1225,3
219,12,1226,1
219,12,1227,20
220,9,1228,256
220,10,1229,60
220,11,1230,12
220,11,1231,6
220,11,1232,3
220,11,1233,6
220,12,1234,7
220,12,1235,2
220,12,1236,1
220,12,1237,3
223,1,1238,68
223,2,1239,12
223,3,1240,21
223,4,1241,15
223,5,1242,11
223,6,1243,7
223,7,1244,0
223,8,1245,7
224,1,1246,82
224,2,1247,9
224,3,1248,11
224,4,1249,13
224,5,1250,19
224,6,1251,11
224,7,1252,14
224,8,1253,12
225,1,1254,120
225,2,1255,44
225,3,1256,10
225,4,1257,11
225,5,1258,9
225,6,1259,4
225,7,1260,9
225,8,1261,17
226,1,1262,120
226,2,1263,16
226,3,1264,13
226,4,1265,7
226,5,1266,13
226,6,1267,8
226,7,1268,9
226,8,1269,20
227,1,1270,195
227,2,1271,37
227,3,1272,21
227,4,1273,16
227,5,1274,30
227,6,1275,16
227,7,1276,17
227,8,1277,9
228,1,1278,80
228,2,1279,17
228,3,1280,6
228,4,1281,12
228,5,1282,18
228,6,1283,6
228,7,1284,5
228,8,1285,12
229,1,1286,90
229,2,1287,32
229,3,1288,36
229,4,1289,49
229,5,1290,18
229,6,1291,18
229,7,1292,11
229,8,1293,1
230,1,1294,78
230,2,1295,13
230,3,1296,10
230,4,1297,5
230,5,1298,12
230,6,1299,6
230,7,1300,7
230,8,1301,1
231,1,1302,76
231,2,1303,4
231,3,1304,8
231,4,1305,6
231,5,1306,7
231,6,1307,9
231,7,1308,3
231,8,1309,13
232,1,1310,80
232,2,1311,15
232,3,1312,5
232,4,1313,15
232,5,1314,11
232,6,1315,6
232,7,1316,11
232,8,1317,9
239,1,1318,81
239,2,1319,14
239,3,1320,10
239,4,1321,4
239,5,1322,8
239,6,1323,4
239,7,1324,2
239,8,1325,5
240,1,1326,78
240,2,1327,9
240,3,1328,9
240,4,1329,4
240,5,1330,5
240,6,1331,1
240,7,1332,4
240,8,1333,4
243,1,1334,14
243,2,1335,11
243,3,1336,5
243,4,1337,6
243,5,1338,5
243,6,1339,6
243,7,1340,0
243,8,1341,3
246,-1,1342,3
246,0,1343,1
246,1,1344,2
246,2,1345,5
246,3,1346,2
246,4,1347,0
246,5,1348,1
246,6,1349,1
246,7,1350,1
246,8,1351,5
248,1,1352,3
248,2,1353,3
248,3,1354,2
248,4,1355,3
248,5,1356,2
248,6,1357,3
248,7,1358,3
252,1,1359,14
252,2,1360,0
252,3,1361,3
252,4,1362,0
252,5,1363,0
252,6,1364,3
252,7,1365,3
252,8,1366,2
253,0,1367,30
253,0,1368,30
253,1,1369,30
253,2,1370,10
253,3,1371,11
253,4,1372,5
253,5,1373,2
253,6,1374,7
253,7,1375,3
253,8,1376,2
253,9,1377,17
253,10,1378,12
253,11,1379,9
253,12,1380,6
254,1,1381,90
254,2,1382,15
254,3,1383,20
254,4,1384,15
254,5,1385,8
254,6,1386,23
254,7,1387,38
254,8,1388,27
254,9,1389,57
254,10,1390,41
254,11,1391,31
254,12,1392,50
255,0,1393,45
255,0,1394,45
255,1,1395,21
255,2,1396,4
255,3,1397,8
255,4,1398,8
255,5,1399,6
255,6,1400,6
255,7,1401,12
255,8,1402,13
255,9,1403,24
255,10,1404,8
255,11,1405,17
255,12,1406,19
256,1,1407,140
256,2,1408,8
256,3,1409,11
256,4,1410,10
256,5,1411,9
256,6,1412,13
256,7,1413,15
256,8,1414,13
256,9,1415,11
256,10,1416,7
256,11,1417,12
256,12,1418,6
268,1,1419,5
268,2,1420,2
268,3,1421,0
268,4,1422,1
268,5,1423,0
268,6,1424,4
268,7,1425,0
268,8,1426,1
268,9,1427,3
268,10,1428,1
269,-1,1429,120
269,0,1430,1
269,1,1431,18
269,2,1432,1
269,3,1433,12
269,4,1434,10
269,5,1435,17
269,6,1436,25
270,-1,1437,20
270,0,1438,20
270,1,1439,13
270,2,1440,13
270,3,1441,15
270,4,1442,6
270,5,1443,13
270,6,1444,11
270,7,1445,16
270,8,1446,7
270,9,1447,12
270,10,1448,11
270,11,1449,27
270,12,1450,23
271,1,1451,5
271,2,1452,3
271,3,1453,1
271,4,1454,3
271,5,1455,5
271,6,1456,1
273,1,1457,5
273,2,1458,1
273,3,1459,0
273,4,1460,0
273,5,1461,1
273,6,1462,0
274,1,1463,10
274,2,1464,7
274,3,1465,5
274,4,1466,8
274,5,1467,7
274,6,1468,8
275,1,1469,5
275,2,1470,5
275,3,1471,5
275,4,1472,4
275,5,1473,3
275,6,1474,4
276,1,1475,5
276,2,1476,1
276,3,1477,2
276,4,1478,2
276,5,1479,3
276,6,1480,5
277,-1,1481,10
277,0,1482,4
277,1,1483,7
277,2,1484,3
277,3,1485,7
277,4,1486,3
277,5,1487,6
277,6,1488,7
279,9,1489,380
279,10,1490,46
279,11,1491,0
279,11,1492,2
279,11,1493,5
279,11,1494,2
279,11,1495,3
279,11,1496,3
279,11,1497,5
279,11,1498,2
279,11,1499,1
279,11,1500,1
279,12,1501,1
279,12,1502,7
279,12,1503,0
279,12,1504,1
279,12,1505,12
279,12,1506,14
279,12,1507,7
279,12,1508,2
279,12,1509,0
279,12,1510,5
280,8,1511,5
280,9,1512,326
280,10,1513,85
280,11,1514,20
280,11,1515,31
280,12,1516,19
280,12,1517,31
283,9,1518,231
283,10,1519,41
283,11,1520,7
283,11,1521,0
283,11,1522,21
283,11,1523,1
283,12,1524,0
283,12,1525,0
283,12,1526,11
283,12,1527,1
284,-1,1528,34
284,0,1529,7
284,0,1530,9
284,1,1531,27
284,2,1532,24
284,3,1533,16
284,4,1534,13
284,5,1535,12
284,6,1536,8
284,7,1537,6
284,8,1538,8
284,9,1539,136
284,10,1540,68
284,11,1541,40
284,12,1542,27
285,0,1543,60
285,1,1544,34
285,2,1545,18
285,3,1546,17
285,4,1547,23
285,5,1548,14
285,6,1549,9
285,7,1550,10
285,8,1551,8
285,9,1552,48
285,10,1553,30
285,11,1554,25
285,12,1555,12
286,9,1556,189
286,10,1557,57
286,11,1558,4
286,11,1559,0
286,11,1560,0
286,11,1561,2
286,11,1562,1
286,12,1563,6
286,12,1564,3
286,12,1565,5
286,12,1566,10
286,12,1567,4
287,7,1568,30
287,8,1569,3
287,9,1570,207
287,10,1571,43
287,11,1572,40
287,12,1573,23
288,1,1574,111
288,2,1575,12
288,3,1576,10
288,4,1577,17
288,5,1578,12
288,6,1579,9
288,7,1580,36
288,8,1581,32
289,-1,1582,60
289,0,1583,15
289,1,1584,21
289,2,1585,11
289,3,1586,12
289,4,1587,7
289,5,1588,20
289,6,1589,11
289,7,1590,7
289,8,1591,12
291,0,1592,30
291,0,1593,30
291,1,1594,87
291,2,1595,50
291,3,1596,33
291,4,1597,42
291,5,1598,37
291,6,1599,34
291,7,1600,31
291,8,1601,36
292,-1,1602,66
292,0,1603,19
292,1,1604,41
292,2,1605,41
292,3,1606,15
292,4,1607,21
292,5,1608,24
292,6,1609,19
292,7,1610,28
292,8,1611,20
293,-1,1612,81
293,0,1613,20
293,1,1614,52
293,2,1615,16
293,3,1616,18
293,4,1617,12
293,5,1618,16
293,6,1619,8
293,7,1620,27
293,8,1621,21
294,1,1622,96
294,2,1623,43
294,3,1624,40
294,4,1625,24
294,5,1626,22
294,6,1627,15
294,7,1628,29
294,8,1629,19
296,0,1630,50
296,1,1631,29
296,2,1632,10
296,3,1633,17
296,4,1634,14
296,5,1635,11
296,6,1636,7
296,7,1637,13
296,8,1638,15
297,-1,1639,35
297,0,1640,10
297,1,1641,48
297,2,1642,19
297,3,1643,23
297,4,1644,15
297,5,1645,14
297,6,1646,19
297,7,1647,12
297,8,1648,16
298,-1,1649,30
298,0,1650,7
298,1,1651,38
